tile_name,kind,symbol_id,linkage_name,frame_count,png_width,png_height,origin_x_from_left_px,origin_y_from_top_px,candidate_unity_pivot_x,candidate_unity_pivot_y,dest_asset_path,notes
grass_row_right,visual,449,grass_row_right,1,34,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/grass_row_right.png,
grass_top_left,visual,1528,grass_top_left,1,34,32,2.0,0.0,0.058823529411764705,1.0,Assets/Mutiny/Art/Tiles/Single/grass_top_left.png,
grass_top_middle_1,visual,1525,grass_top_middle_1,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/grass_top_middle_1.png,
grass_top_middle_2,visual,1522,grass_top_middle_2,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/grass_top_middle_2.png,
grass_top_right,visual,1531,grass_top_right,1,34,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/grass_top_right.png,
grass_top_single,visual,1394,grass_top_single,1,36,32,2.0,0.0,0.05555555555555555,1.0,Assets/Mutiny/Art/Tiles/Single/grass_top_single.png,
mast_bottom,visual,510,mast_bottom,1,16,32,-24.0,0.0,-1.5,1.0,Assets/Mutiny/Art/Tiles/Single/mast_bottom.png,
mast_end_left,visual,486,mast_end_left,1,32,33,0.0,1.0,0.0,0.9696969696969697,Assets/Mutiny/Art/Tiles/Single/mast_end_left.png,
mast_end_right,visual,483,mast_end_right,1,32,33,0.0,1.0,0.0,0.9696969696969697,Assets/Mutiny/Art/Tiles/Single/mast_end_right.png,
mast_middle,visual,507,mast_middle,1,16,32,-24.0,0.0,-1.5,1.0,Assets/Mutiny/Art/Tiles/Single/mast_middle.png,
mast_middle_1,visual,492,mast_middle_1,1,32,33,0.0,1.0,0.0,0.9696969696969697,Assets/Mutiny/Art/Tiles/Single/mast_middle_1.png,
mast_middle_2,visual,495,mast_middle_2,1,32,33,0.0,1.0,0.0,0.9696969696969697,Assets/Mutiny/Art/Tiles/Single/mast_middle_2.png,
mast_tile,visual,489,mast_tile,1,32,33,0.0,1.0,0.0,0.9696969696969697,Assets/Mutiny/Art/Tiles/Single/mast_tile.png,
mast_top,visual,504,mast_top,1,16,32,-24.0,0.0,-1.5,1.0,Assets/Mutiny/Art/Tiles/Single/mast_top.png,
rock_1,visual,1452,rock_1,1,25,20,-3.0,-12.0,-0.12,1.6,Assets/Mutiny/Art/Tiles/Single/rock_1.png,
rock_2,visual,1447,rock_2,1,28,13,-2.0,-19.0,-0.07142857142857142,2.4615384615384617,Assets/Mutiny/Art/Tiles/Single/rock_2.png,
rock_3,visual,1442,rock_3,1,29,16,-1.0,-16.0,-0.034482758620689655,2.0,Assets/Mutiny/Art/Tiles/Single/rock_3.png,
sand_overlap_left,visual,1409,sand_overlap_left,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/sand_overlap_left.png,
sand_overlap_right,visual,1412,sand_overlap_right,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/sand_overlap_right.png,
shell_sand_middle_1,visual,1424,shell_sand_middle_1,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/shell_sand_middle_1.png,
shell_sand_middle_2,visual,1421,shell_sand_middle_2,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/shell_sand_middle_2.png,
shell_sand_top_left,visual,1418,shell_sand_top_left,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/shell_sand_top_left.png,
shell_sand_top_right,visual,1427,shell_sand_top_right,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/shell_sand_top_right.png,
ship_anchor_1,visual,522,ship_anchor_1,1,43,32,11.0,0.0,0.2558139534883721,1.0,Assets/Mutiny/Art/Tiles/Single/ship_anchor_1.png,
ship_anchor_2,visual,525,ship_anchor_2,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/ship_anchor_2.png,
ship_anchor_3,visual,528,ship_anchor_3,1,43,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/ship_anchor_3.png,
ship_anchor_4,visual,531,Ship_anchor_4,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/ship_anchor_4.png,Case difference between XML (ship_anchor_4) and SWF linkage (Ship_anchor_4).
ship_end_1,visual,513,ship_end_1,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/ship_end_1.png,
ship_end_2,visual,516,ship_end_2,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/ship_end_2.png,
ship_end_3,visual,519,ship_end_3,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/ship_end_3.png,
ship_left_facing_1,visual,558,ship_left_facing_1,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/ship_left_facing_1.png,
ship_left_facing_2,visual,561,ship_left_facing_2,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/ship_left_facing_2.png,
ship_left_facing_3,visual,564,ship_left_facing_3,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/ship_left_facing_3.png,
ship_left_facing_5,visual,576,ship_left_facing_5,1,36,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/ship_left_facing_5.png,
ship_left_side_shaded_4,visual,567,ship_left_side_shaded_4,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/ship_left_side_shaded_4.png,
ship_right_facing_1,visual,534,ship_right_facing_1,1,36,32,4.0,0.0,0.1111111111111111,1.0,Assets/Mutiny/Art/Tiles/Single/ship_right_facing_1.png,
ship_right_facing_2,visual,537,ship_right_facing_2,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/ship_right_facing_2.png,
ship_right_facing_3,visual,540,ship_right_facing_3,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/ship_right_facing_3.png,
ship_right_facing_3_1,visual,543,ship_right_facing_3_1,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/ship_right_facing_3_1.png,
ship_right_facing_4,visual,546,ship_right_facing_4,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/ship_right_facing_4.png,
ship_right_facing_4_1,visual,549,ship_right_facing_4_1,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/ship_right_facing_4_1.png,
ship_right_side_shaded_2,visual,480,ship_right_side_shaded_2,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/ship_right_side_shaded_2.png,
ship_tile_1,visual,552,ship_tile_1,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/ship_tile_1.png,
ship_tile_2,visual,555,ship_tile_2,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/ship_tile_2.png,
ship_top_middle,visual,477,ship_top_middle,1,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/ship_top_middle.png,
single_grass_1,visual,1558,single_grass_1,1,36,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/single_grass_1.png,
single_grass_2,visual,1555,single_grass_2,1,36,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Single/single_grass_2.png,
small_tree,visual,1492,small_tree,1,31,40,0.0,8.0,0.0,0.8,Assets/Mutiny/Art/Tiles/Single/small_tree.png,
tile_ripple_left,visual,1592,tile_ripple_left,16,34,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Animated/tile_ripple_left/,
tile_ripple_middle,visual,1609,tile_ripple_middle,16,32,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Animated/tile_ripple_middle/,
tile_ripple_right,visual,1575,tile_ripple_right,16,34,32,0.0,0.0,0.0,1.0,Assets/Mutiny/Art/Tiles/Animated/tile_ripple_right/,
