file,object_index,type,x,y,attribute,value
"level_01.xml","7","redPirate","29","11","maxChests","1"
"level_01.xml","7","redPirate","29","11","type","redPirate"
"level_01.xml","7","redPirate","29","11","x","29"
"level_01.xml","7","redPirate","29","11","y","11"
"level_01.xml","8","redPirateCaptain","34","11","cherryBomb","10"
"level_01.xml","8","redPirateCaptain","34","11","dynamite","5"
"level_01.xml","8","redPirateCaptain","34","11","luck","5"
"level_01.xml","8","redPirateCaptain","34","11","maxChests","1"
"level_01.xml","8","redPirateCaptain","34","11","type","redPirateCaptain"
"level_01.xml","8","redPirateCaptain","34","11","x","34"
"level_01.xml","8","redPirateCaptain","34","11","y","11"
"level_01.xml","9","water","17","14","luck","10"
"level_01.xml","9","water","17","14","maxChests","3"
"level_01.xml","9","water","17","14","type","water"
"level_01.xml","9","water","17","14","x","17"
"level_01.xml","9","water","17","14","y","14"
"level_02.xml","0","potentialWeapons","19","0","anchor","1"
"level_02.xml","0","potentialWeapons","19","0","cherryBomb","10"
"level_02.xml","0","potentialWeapons","19","0","luck","1"
"level_02.xml","0","potentialWeapons","19","0","parachuteBomb","10"
"level_02.xml","0","potentialWeapons","19","0","type","potentialWeapons"
"level_02.xml","0","potentialWeapons","19","0","x","19"
"level_02.xml","0","potentialWeapons","19","0","y","0"
"level_02.xml","1","redPirate","5","21","cherryBomb","1"
"level_02.xml","1","redPirate","5","21","gunpowderBarrel","5"
"level_02.xml","1","redPirate","5","21","luck","1"
"level_02.xml","1","redPirate","5","21","rumBottle","10"
"level_02.xml","1","redPirate","5","21","type","redPirate"
"level_02.xml","1","redPirate","5","21","woodenCrate","5"
"level_02.xml","1","redPirate","5","21","x","5"
"level_02.xml","1","redPirate","5","21","y","21"
"level_02.xml","2","redPirate","38","8","cherryBomb","1"
"level_02.xml","2","redPirate","38","8","gunpowderBarrel","5"
"level_02.xml","2","redPirate","38","8","luck","1"
"level_02.xml","2","redPirate","38","8","rumBottle","10"
"level_02.xml","2","redPirate","38","8","type","redPirate"
"level_02.xml","2","redPirate","38","8","woodenCrate","5"
"level_02.xml","2","redPirate","38","8","x","38"
"level_02.xml","2","redPirate","38","8","y","8"
"level_02.xml","3","squid","10","15","luck","1"
"level_02.xml","3","squid","10","15","rumBottle","10"
"level_02.xml","3","squid","10","15","type","squid"
"level_02.xml","3","squid","10","15","x","10"
"level_02.xml","3","squid","10","15","y","15"
"level_02.xml","4","squid","25","7","luck","1"
"level_02.xml","4","squid","25","7","rumBottle","10"
"level_02.xml","4","squid","25","7","type","squid"
"level_02.xml","4","squid","25","7","x","25"
"level_02.xml","4","squid","25","7","y","7"
"level_02.xml","5","squid","42","4","luck","1"
"level_02.xml","5","squid","42","4","rumBottle","10"
"level_02.xml","5","squid","42","4","type","squid"
"level_02.xml","5","squid","42","4","x","42"
"level_02.xml","5","squid","42","4","y","4"
"level_02.xml","6","redPirate","21","3","cherryBomb","1"
"level_02.xml","6","redPirate","21","3","gunpowderBarrel","5"
"level_02.xml","6","redPirate","21","3","luck","1"
"level_02.xml","6","redPirate","21","3","rumBottle","10"
"level_02.xml","6","redPirate","21","3","type","redPirate"
"level_02.xml","6","redPirate","21","3","woodenCrate","5"
"level_02.xml","6","redPirate","21","3","x","21"
"level_02.xml","6","redPirate","21","3","y","3"
"level_02.xml","7","squid","6","3","luck","1"
"level_02.xml","7","squid","6","3","rumBottle","10"
"level_02.xml","7","squid","6","3","type","squid"
"level_02.xml","7","squid","6","3","x","6"
"level_02.xml","7","squid","6","3","y","3"
"level_02.xml","8","redPirateCaptain","6","10","anchor","2"
"level_02.xml","8","redPirateCaptain","6","10","cherryBomb","1"
"level_02.xml","8","redPirateCaptain","6","10","gunpowderBarrel","5"
"level_02.xml","8","redPirateCaptain","6","10","luck","1"
"level_02.xml","8","redPirateCaptain","6","10","rumBottle","10"
"level_02.xml","8","redPirateCaptain","6","10","type","redPirateCaptain"
"level_02.xml","8","redPirateCaptain","6","10","woodenCrate","5"
"level_02.xml","8","redPirateCaptain","6","10","x","6"
"level_02.xml","8","redPirateCaptain","6","10","y","10"
"level_02.xml","9","squid","34","20","luck","1"
"level_02.xml","9","squid","34","20","rumBottle","10"
"level_02.xml","9","squid","34","20","type","squid"
"level_02.xml","9","squid","34","20","x","34"
"level_02.xml","9","squid","34","20","y","20"
"level_02.xml","10","squid","13","20","luck","1"
"level_02.xml","10","squid","13","20","rumBottle","10"
"level_02.xml","10","squid","13","20","type","squid"
"level_02.xml","10","squid","13","20","x","13"
"level_02.xml","10","squid","13","20","y","20"
"level_02.xml","11","redPirate","21","13","cherryBomb","1"
"level_02.xml","11","redPirate","21","13","gunpowderBarrel","5"
"level_02.xml","11","redPirate","21","13","luck","1"
"level_02.xml","11","redPirate","21","13","rumBottle","10"
"level_02.xml","11","redPirate","21","13","type","redPirate"
"level_02.xml","11","redPirate","21","13","woodenCrate","5"
"level_02.xml","11","redPirate","21","13","x","21"
"level_02.xml","11","redPirate","21","13","y","13"
"level_02.xml","12","squid","32","13","luck","1"
"level_02.xml","12","squid","32","13","rumBottle","10"
"level_02.xml","12","squid","32","13","type","squid"
"level_02.xml","12","squid","32","13","x","32"
"level_02.xml","12","squid","32","13","y","13"
"level_02.xml","13","redPirate","44","18","cherryBomb","1"
"level_02.xml","13","redPirate","44","18","gunpowderBarrel","5"
"level_02.xml","13","redPirate","44","18","luck","1"
"level_02.xml","13","redPirate","44","18","rumBottle","10"
"level_02.xml","13","redPirate","44","18","type","redPirate"
"level_02.xml","13","redPirate","44","18","woodenCrate","5"
"level_02.xml","13","redPirate","44","18","x","44"
"level_02.xml","13","redPirate","44","18","y","18"
"level_02.xml","14","redPirate","24","17","cherryBomb","1"
"level_02.xml","14","redPirate","24","17","gunpowderBarrel","5"
"level_02.xml","14","redPirate","24","17","luck","1"
"level_02.xml","14","redPirate","24","17","rumBottle","10"
"level_02.xml","14","redPirate","24","17","type","redPirate"
"level_02.xml","14","redPirate","24","17","woodenCrate","5"
"level_02.xml","14","redPirate","24","17","x","24"
"level_02.xml","14","redPirate","24","17","y","17"
"level_02.xml","15","water","0","26","dynamite","10"
"level_02.xml","15","water","0","26","luck","10"
"level_02.xml","15","water","0","26","maxChests","3"
"level_02.xml","15","water","0","26","type","water"
"level_02.xml","15","water","0","26","x","0"
"level_02.xml","15","water","0","26","y","26"
"level_03.xml","0","potentialWeapons","20","0","luck","1"
"level_03.xml","0","potentialWeapons","20","0","maxChests","1"
"level_03.xml","0","potentialWeapons","20","0","parachuteBomb","1"
"level_03.xml","0","potentialWeapons","20","0","type","potentialWeapons"
"level_03.xml","0","potentialWeapons","20","0","x","20"
"level_03.xml","0","potentialWeapons","20","0","y","0"
"level_03.xml","1","blindPirate","32","17","cherryBomb","10"
"level_03.xml","1","blindPirate","32","17","dynamite","10"
"level_03.xml","1","blindPirate","32","17","gunpowderBarrel","10"
"level_03.xml","1","blindPirate","32","17","luck","10"
"level_03.xml","1","blindPirate","32","17","maxChests","1"
"level_03.xml","1","blindPirate","32","17","mine","1"
"level_03.xml","1","blindPirate","32","17","rumBottle","1"
"level_03.xml","1","blindPirate","32","17","type","blindPirate"
"level_03.xml","1","blindPirate","32","17","woodenCrate","10"
"level_03.xml","1","blindPirate","32","17","x","32"
"level_03.xml","1","blindPirate","32","17","y","17"
"level_03.xml","2","redPirate","8","17","cherryBomb","10"
"level_03.xml","2","redPirate","8","17","dynamite","10"
"level_03.xml","2","redPirate","8","17","gunpowderBarrel","10"
"level_03.xml","2","redPirate","8","17","luck","1"
"level_03.xml","2","redPirate","8","17","maxChests","1"
"level_03.xml","2","redPirate","8","17","mine","1"
"level_03.xml","2","redPirate","8","17","rumBottle","1"
"level_03.xml","2","redPirate","8","17","type","redPirate"
"level_03.xml","2","redPirate","8","17","woodenCrate","10"
"level_03.xml","2","redPirate","8","17","x","8"
"level_03.xml","2","redPirate","8","17","y","17"
"level_03.xml","3","blindPirate","29","11","cherryBomb","10"
"level_03.xml","3","blindPirate","29","11","dynamite","10"
"level_03.xml","3","blindPirate","29","11","gunpowderBarrel","10"
"level_03.xml","3","blindPirate","29","11","luck","10"
"level_03.xml","3","blindPirate","29","11","maxChests","1"
"level_03.xml","3","blindPirate","29","11","mine","1"
"level_03.xml","3","blindPirate","29","11","rumBottle","1"
"level_03.xml","3","blindPirate","29","11","type","blindPirate"
"level_03.xml","3","blindPirate","29","11","woodenCrate","10"
"level_03.xml","3","blindPirate","29","11","x","29"
"level_03.xml","3","blindPirate","29","11","y","11"
"level_03.xml","4","redPirate","12","11","cherryBomb","10"
"level_03.xml","4","redPirate","12","11","dynamite","10"
"level_03.xml","4","redPirate","12","11","gunpowderBarrel","10"
"level_03.xml","4","redPirate","12","11","luck","1"
"level_03.xml","4","redPirate","12","11","maxChests","1"
"level_03.xml","4","redPirate","12","11","mine","1"
"level_03.xml","4","redPirate","12","11","rumBottle","1"
"level_03.xml","4","redPirate","12","11","type","redPirate"
"level_03.xml","4","redPirate","12","11","woodenCrate","10"
"level_03.xml","4","redPirate","12","11","x","12"
"level_03.xml","4","redPirate","12","11","y","11"
"level_03.xml","5","redPirate","5","11","cherryBomb","10"
"level_03.xml","5","redPirate","5","11","dynamite","10"
"level_03.xml","5","redPirate","5","11","gunpowderBarrel","10"
"level_03.xml","5","redPirate","5","11","luck","1"
"level_03.xml","5","redPirate","5","11","maxChests","1"
"level_03.xml","5","redPirate","5","11","mine","1"
"level_03.xml","5","redPirate","5","11","rumBottle","1"
"level_03.xml","5","redPirate","5","11","type","redPirate"
"level_03.xml","5","redPirate","5","11","woodenCrate","10"
"level_03.xml","5","redPirate","5","11","x","5"
"level_03.xml","5","redPirate","5","11","y","11"
"level_03.xml","6","blindPirate","34","11","cherryBomb","10"
"level_03.xml","6","blindPirate","34","11","dynamite","10"
"level_03.xml","6","blindPirate","34","11","gunpowderBarrel","10"
"level_03.xml","6","blindPirate","34","11","luck","10"
"level_03.xml","6","blindPirate","34","11","maxChests","1"
"level_03.xml","6","blindPirate","34","11","mine","1"
"level_03.xml","6","blindPirate","34","11","rumBottle","1"
"level_03.xml","6","blindPirate","34","11","type","blindPirate"
"level_03.xml","6","blindPirate","34","11","woodenCrate","10"
"level_03.xml","6","blindPirate","34","11","x","34"
"level_03.xml","6","blindPirate","34","11","y","11"
"level_03.xml","7","redPirateCaptain","9","6","cherryBomb","10"
"level_03.xml","7","redPirateCaptain","9","6","dynamite","10"
"level_03.xml","7","redPirateCaptain","9","6","gunpowderBarrel","10"
"level_03.xml","7","redPirateCaptain","9","6","luck","1"
"level_03.xml","7","redPirateCaptain","9","6","maxChests","1"
"level_03.xml","7","redPirateCaptain","9","6","mine","1"
"level_03.xml","7","redPirateCaptain","9","6","parachuteBomb","1"
"level_03.xml","7","redPirateCaptain","9","6","rumBottle","1"
"level_03.xml","7","redPirateCaptain","9","6","type","redPirateCaptain"
"level_03.xml","7","redPirateCaptain","9","6","woodenCrate","10"
"level_03.xml","7","redPirateCaptain","9","6","x","9"
"level_03.xml","7","redPirateCaptain","9","6","y","6"
"level_03.xml","8","blindPirateCaptain","31","6","cherryBomb","10"
"level_03.xml","8","blindPirateCaptain","31","6","dynamite","10"
"level_03.xml","8","blindPirateCaptain","31","6","gunpowderBarrel","10"
"level_03.xml","8","blindPirateCaptain","31","6","luck","20"
"level_03.xml","8","blindPirateCaptain","31","6","maxChests","1"
"level_03.xml","8","blindPirateCaptain","31","6","mine","1"
"level_03.xml","8","blindPirateCaptain","31","6","rumBottle","1"
"level_03.xml","8","blindPirateCaptain","31","6","type","blindPirateCaptain"
"level_03.xml","8","blindPirateCaptain","31","6","woodenCrate","10"
"level_03.xml","8","blindPirateCaptain","31","6","x","31"
"level_03.xml","8","blindPirateCaptain","31","6","y","6"
"level_03.xml","9","redPirate","12","16","cherryBomb","10"
"level_03.xml","9","redPirate","12","16","dynamite","10"
"level_03.xml","9","redPirate","12","16","gunpowderBarrel","10"
"level_03.xml","9","redPirate","12","16","luck","1"
"level_03.xml","9","redPirate","12","16","maxChests","1"
"level_03.xml","9","redPirate","12","16","mine","1"
"level_03.xml","9","redPirate","12","16","rumBottle","1"
"level_03.xml","9","redPirate","12","16","type","redPirate"
"level_03.xml","9","redPirate","12","16","woodenCrate","10"
"level_03.xml","9","redPirate","12","16","x","12"
"level_03.xml","9","redPirate","12","16","y","16"
"level_03.xml","10","water","0","20","luck","10"
"level_03.xml","10","water","0","20","maxChests","3"
"level_03.xml","10","water","0","20","type","water"
"level_03.xml","10","water","0","20","x","0"
"level_03.xml","10","water","0","20","y","20"
"level_04.xml","0","potentialWeapons","27","5","dynamite","5"
"level_04.xml","0","potentialWeapons","27","5","gunpowderBarrel","2"
"level_04.xml","0","potentialWeapons","27","5","luck","1"
"level_04.xml","0","potentialWeapons","27","5","maxChests","1"
"level_04.xml","0","potentialWeapons","27","5","parachuteBomb","2"
"level_04.xml","0","potentialWeapons","27","5","piecesOfEight","5"
"level_04.xml","0","potentialWeapons","27","5","seagull","1"
"level_04.xml","0","potentialWeapons","27","5","type","potentialWeapons"
"level_04.xml","0","potentialWeapons","27","5","woodenCrate","2"
"level_04.xml","0","potentialWeapons","27","5","x","27"
"level_04.xml","0","potentialWeapons","27","5","y","5"
"level_04.xml","1","redPirateCaptain","7","4","cannon","10"
"level_04.xml","1","redPirateCaptain","7","4","cherryBomb","10"
"level_04.xml","1","redPirateCaptain","7","4","dynamite","1"
"level_04.xml","1","redPirateCaptain","7","4","luck","1"
"level_04.xml","1","redPirateCaptain","7","4","maxChests","1"
"level_04.xml","1","redPirateCaptain","7","4","parachuteBomb","1"
"level_04.xml","1","redPirateCaptain","7","4","piecesOfEight","10"
"level_04.xml","1","redPirateCaptain","7","4","type","redPirateCaptain"
"level_04.xml","1","redPirateCaptain","7","4","x","7"
"level_04.xml","1","redPirateCaptain","7","4","y","4"
"level_04.xml","2","soldierCaptain","48","4","cannon","10"
"level_04.xml","2","soldierCaptain","48","4","cherryBomb","10"
"level_04.xml","2","soldierCaptain","48","4","dynamite","5"
"level_04.xml","2","soldierCaptain","48","4","luck","1"
"level_04.xml","2","soldierCaptain","48","4","maxChests","1"
"level_04.xml","2","soldierCaptain","48","4","parachuteBomb","1"
"level_04.xml","2","soldierCaptain","48","4","piecesOfEight","10"
"level_04.xml","2","soldierCaptain","48","4","type","soldierCaptain"
"level_04.xml","2","soldierCaptain","48","4","x","48"
"level_04.xml","2","soldierCaptain","48","4","y","4"
"level_04.xml","3","soldier","55","13","cannon","10"
"level_04.xml","3","soldier","55","13","cherryBomb","10"
"level_04.xml","3","soldier","55","13","dynamite","1"
"level_04.xml","3","soldier","55","13","luck","10"
"level_04.xml","3","soldier","55","13","maxChests","1"
"level_04.xml","3","soldier","55","13","parachuteBomb","1"
"level_04.xml","3","soldier","55","13","piecesOfEight","10"
"level_04.xml","3","soldier","55","13","type","soldier"
"level_04.xml","3","soldier","55","13","x","55"
"level_04.xml","3","soldier","55","13","y","13"
"level_04.xml","4","soldier","34","13","cannon","10"
"level_04.xml","4","soldier","34","13","cherryBomb","10"
"level_04.xml","4","soldier","34","13","dynamite","1"
"level_04.xml","4","soldier","34","13","luck","10"
"level_04.xml","4","soldier","34","13","maxChests","1"
"level_04.xml","4","soldier","34","13","parachuteBomb","1"
"level_04.xml","4","soldier","34","13","piecesOfEight","10"
"level_04.xml","4","soldier","34","13","type","soldier"
"level_04.xml","4","soldier","34","13","x","34"
"level_04.xml","4","soldier","34","13","y","13"
"level_04.xml","5","redPirate","1","13","cannon","10"
"level_04.xml","5","redPirate","1","13","cherryBomb","10"
"level_04.xml","5","redPirate","1","13","dynamite","1"
"level_04.xml","5","redPirate","1","13","luck","1"
"level_04.xml","5","redPirate","1","13","maxChests","1"
"level_04.xml","5","redPirate","1","13","type","redPirate"
"level_04.xml","5","redPirate","1","13","x","1"
"level_04.xml","5","redPirate","1","13","y","13"
"level_04.xml","6","redPirate","21","13","cannon","10"
"level_04.xml","6","redPirate","21","13","cherryBomb","10"
"level_04.xml","6","redPirate","21","13","dynamite","1"
"level_04.xml","6","redPirate","21","13","luck","1"
"level_04.xml","6","redPirate","21","13","maxChests","1"
"level_04.xml","6","redPirate","21","13","type","redPirate"
"level_04.xml","6","redPirate","21","13","x","21"
"level_04.xml","6","redPirate","21","13","y","13"
"level_04.xml","7","redPirate","9","14","cannon","10"
"level_04.xml","7","redPirate","9","14","cherryBomb","10"
"level_04.xml","7","redPirate","9","14","dynamite","1"
"level_04.xml","7","redPirate","9","14","luck","1"
"level_04.xml","7","redPirate","9","14","maxChests","1"
"level_04.xml","7","redPirate","9","14","type","redPirate"
"level_04.xml","7","redPirate","9","14","x","9"
"level_04.xml","7","redPirate","9","14","y","14"
"level_04.xml","8","soldier","45","14","cannon","10"
"level_04.xml","8","soldier","45","14","cherryBomb","10"
"level_04.xml","8","soldier","45","14","dynamite","1"
"level_04.xml","8","soldier","45","14","luck","10"
"level_04.xml","8","soldier","45","14","maxChests","1"
"level_04.xml","8","soldier","45","14","parachuteBomb","1"
"level_04.xml","8","soldier","45","14","piecesOfEight","10"
"level_04.xml","8","soldier","45","14","type","soldier"
"level_04.xml","8","soldier","45","14","x","45"
"level_04.xml","8","soldier","45","14","y","14"
"level_04.xml","9","soldier","50","9","cannon","10"
"level_04.xml","9","soldier","50","9","cherryBomb","10"
"level_04.xml","9","soldier","50","9","dynamite","1"
"level_04.xml","9","soldier","50","9","luck","10"
"level_04.xml","9","soldier","50","9","maxChests","1"
"level_04.xml","9","soldier","50","9","parachuteBomb","1"
"level_04.xml","9","soldier","50","9","piecesOfEight","10"
"level_04.xml","9","soldier","50","9","type","soldier"
"level_04.xml","9","soldier","50","9","x","50"
"level_04.xml","9","soldier","50","9","y","9"
"level_04.xml","10","soldier","38","9","cannon","10"
"level_04.xml","10","soldier","38","9","cherryBomb","10"
"level_04.xml","10","soldier","38","9","dynamite","1"
"level_04.xml","10","soldier","38","9","luck","10"
"level_04.xml","10","soldier","38","9","maxChests","1"
"level_04.xml","10","soldier","38","9","parachuteBomb","1"
"level_04.xml","10","soldier","38","9","piecesOfEight","10"
"level_04.xml","10","soldier","38","9","type","soldier"
"level_04.xml","10","soldier","38","9","x","38"
"level_04.xml","10","soldier","38","9","y","9"
"level_04.xml","11","redPirate","8","9","cannon","10"
"level_04.xml","11","redPirate","8","9","cherryBomb","10"
"level_04.xml","11","redPirate","8","9","dynamite","1"
"level_04.xml","11","redPirate","8","9","luck","1"
"level_04.xml","11","redPirate","8","9","maxChests","1"
"level_04.xml","11","redPirate","8","9","parachuteBomb","1"
"level_04.xml","11","redPirate","8","9","type","redPirate"
"level_04.xml","11","redPirate","8","9","x","8"
"level_04.xml","11","redPirate","8","9","y","9"
"level_04.xml","12","redPirate","18","9","cannon","10"
"level_04.xml","12","redPirate","18","9","cherryBomb","10"
"level_04.xml","12","redPirate","18","9","dynamite","1"
"level_04.xml","12","redPirate","18","9","luck","1"
"level_04.xml","12","redPirate","18","9","maxChests","1"
"level_04.xml","12","redPirate","18","9","type","redPirate"
"level_04.xml","12","redPirate","18","9","x","18"
"level_04.xml","12","redPirate","18","9","y","9"
"level_04.xml","13","water","34","17","luck","10"
"level_04.xml","13","water","34","17","maxChests","3"
"level_04.xml","13","water","34","17","type","water"
"level_04.xml","13","water","34","17","x","34"
"level_04.xml","13","water","34","17","y","17"
"level_05.xml","0","potentialWeapons","23","0","banana","10"
"level_05.xml","0","potentialWeapons","23","0","luck","1"
"level_05.xml","0","potentialWeapons","23","0","maxChests","1"
"level_05.xml","0","potentialWeapons","23","0","type","potentialWeapons"
"level_05.xml","0","potentialWeapons","23","0","x","23"
"level_05.xml","0","potentialWeapons","23","0","y","0"
"level_05.xml","1","redPirate","30","11","banana","1"
"level_05.xml","1","redPirate","30","11","cherryBomb","10"
"level_05.xml","1","redPirate","30","11","dynamite","5"
"level_05.xml","1","redPirate","30","11","gunpowderBarrel","2"
"level_05.xml","1","redPirate","30","11","luck","1"
"level_05.xml","1","redPirate","30","11","maxChests","1"
"level_05.xml","1","redPirate","30","11","type","redPirate"
"level_05.xml","1","redPirate","30","11","woodenCrate","2"
"level_05.xml","1","redPirate","30","11","x","30"
"level_05.xml","1","redPirate","30","11","y","11"
"level_05.xml","2","monkey","40","11","banana","10"
"level_05.xml","2","monkey","40","11","luck","1"
"level_05.xml","2","monkey","40","11","maxChests","1"
"level_05.xml","2","monkey","40","11","type","monkey"
"level_05.xml","2","monkey","40","11","x","40"
"level_05.xml","2","monkey","40","11","y","11"
"level_05.xml","3","monkey","2","12","banana","10"
"level_05.xml","3","monkey","2","12","luck","1"
"level_05.xml","3","monkey","2","12","maxChests","1"
"level_05.xml","3","monkey","2","12","type","monkey"
"level_05.xml","3","monkey","2","12","x","2"
"level_05.xml","3","monkey","2","12","y","12"
"level_05.xml","4","monkey","13","2","banana","10"
"level_05.xml","4","monkey","13","2","luck","1"
"level_05.xml","4","monkey","13","2","maxChests","1"
"level_05.xml","4","monkey","13","2","type","monkey"
"level_05.xml","4","monkey","13","2","x","13"
"level_05.xml","4","monkey","13","2","y","2"
"level_05.xml","5","monkey","7","7","banana","10"
"level_05.xml","5","monkey","7","7","luck","1"
"level_05.xml","5","monkey","7","7","maxChests","1"
"level_05.xml","5","monkey","7","7","type","monkey"
"level_05.xml","5","monkey","7","7","x","7"
"level_05.xml","5","monkey","7","7","y","7"
"level_05.xml","6","redPirateCaptain","23","6","banana","1"
"level_05.xml","6","redPirateCaptain","23","6","cherryBomb","10"
"level_05.xml","6","redPirateCaptain","23","6","dynamite","5"
"level_05.xml","6","redPirateCaptain","23","6","gunpowderBarrel","2"
"level_05.xml","6","redPirateCaptain","23","6","luck","1"
"level_05.xml","6","redPirateCaptain","23","6","maxChests","1"
"level_05.xml","6","redPirateCaptain","23","6","type","redPirateCaptain"
"level_05.xml","6","redPirateCaptain","23","6","woodenCrate","2"
"level_05.xml","6","redPirateCaptain","23","6","x","23"
"level_05.xml","6","redPirateCaptain","23","6","y","6"
"level_05.xml","7","monkey","34","6","banana","10"
"level_05.xml","7","monkey","34","6","luck","10"
"level_05.xml","7","monkey","34","6","tidalWave","1"
"level_05.xml","7","monkey","34","6","type","monkey"
"level_05.xml","7","monkey","34","6","x","34"
"level_05.xml","7","monkey","34","6","y","6"
"level_05.xml","8","redPirate","12","13","banana","1"
"level_05.xml","8","redPirate","12","13","cherryBomb","10"
"level_05.xml","8","redPirate","12","13","dynamite","5"
"level_05.xml","8","redPirate","12","13","gunpowderBarrel","2"
"level_05.xml","8","redPirate","12","13","luck","1"
"level_05.xml","8","redPirate","12","13","maxChests","1"
"level_05.xml","8","redPirate","12","13","type","redPirate"
"level_05.xml","8","redPirate","12","13","woodenCrate","2"
"level_05.xml","8","redPirate","12","13","x","12"
"level_05.xml","8","redPirate","12","13","y","13"
"level_05.xml","9","redPirate","34","13","banana","1"
"level_05.xml","9","redPirate","34","13","cherryBomb","10"
"level_05.xml","9","redPirate","34","13","dynamite","5"
"level_05.xml","9","redPirate","34","13","gunpowderBarrel","2"
"level_05.xml","9","redPirate","34","13","luck","1"
"level_05.xml","9","redPirate","34","13","maxChests","1"
"level_05.xml","9","redPirate","34","13","type","redPirate"
"level_05.xml","9","redPirate","34","13","woodenCrate","2"
"level_05.xml","9","redPirate","34","13","x","34"
"level_05.xml","9","redPirate","34","13","y","13"
"level_05.xml","10","water","0","17","anchor","1"
"level_05.xml","10","water","0","17","banana","1"
"level_05.xml","10","water","0","17","boulder","1"
"level_05.xml","10","water","0","17","cannon","1"
"level_05.xml","10","water","0","17","cherryBomb","1"
"level_05.xml","10","water","0","17","dynamite","1"
"level_05.xml","10","water","0","17","gunpowderBarrel","1"
"level_05.xml","10","water","0","17","luck","30"
"level_05.xml","10","water","0","17","maxChests","3"
"level_05.xml","10","water","0","17","mine","1"
"level_05.xml","10","water","0","17","parachuteBomb","1"
"level_05.xml","10","water","0","17","piecesOfEight","1"
"level_05.xml","10","water","0","17","rumBottle","1"
"level_05.xml","10","water","0","17","seagull","1"
"level_05.xml","10","water","0","17","tidalWave","1"
"level_05.xml","10","water","0","17","type","water"
"level_05.xml","10","water","0","17","voodooDoll","1"
"level_05.xml","10","water","0","17","woodenCrate","1"
"level_05.xml","10","water","0","17","x","0"
"level_05.xml","10","water","0","17","y","17"
"level_06.xml","0","potentialWeapons","45","3","anchor","1"
"level_06.xml","0","potentialWeapons","45","3","banana","2"
"level_06.xml","0","potentialWeapons","45","3","cherryBomb","1"
"level_06.xml","0","potentialWeapons","45","3","dynamite","1"
"level_06.xml","0","potentialWeapons","45","3","luck","1"
"level_06.xml","0","potentialWeapons","45","3","maxChests","1"
"level_06.xml","0","potentialWeapons","45","3","seagull","1"
"level_06.xml","0","potentialWeapons","45","3","type","potentialWeapons"
"level_06.xml","0","potentialWeapons","45","3","x","45"
"level_06.xml","0","potentialWeapons","45","3","y","3"
"level_06.xml","1","redPirate","59","17","boulder","10"
"level_06.xml","1","redPirate","59","17","cherryBomb","2"
"level_06.xml","1","redPirate","59","17","dynamite","1"
"level_06.xml","1","redPirate","59","17","luck","1"
"level_06.xml","1","redPirate","59","17","type","redPirate"
"level_06.xml","1","redPirate","59","17","x","59"
"level_06.xml","1","redPirate","59","17","y","17"
"level_06.xml","2","oldPirate","51","17","boulder","10"
"level_06.xml","2","oldPirate","51","17","dynamite","1"
